seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_002	f021	27	171	9988615	9988615	35.26315789473684	35.303350759576624
6301	condition_002	f021	31	171	9985727	9985727	34.70175438596491	34.7513549949492
6301	condition_002	f022	15	171	9997279	9997279	40.09356725146199	40.10447968038302
6301	condition_002	f022	21	171	9992947	9992947	35.45614035087719	35.48116521670453
6301	condition_002	f022	27	171	9988615	9988615	31.263157894736842	31.298791568938082
6301	condition_002	f022	31	171	9985727	9985727	28.80701754385965	28.848192569113543
6301	condition_002	f023	15	171	9997279	9997279	38.12280701754386	38.13318305665358
6301	condition_002	f023	21	171	9992947	9992947	37.345029239766085	37.37138727921411
6301	condition_002	f023	27	171	9988615	9988615	36.57309941520468	36.61478534832375
6301	condition_002	f023	31	171	9985727	9985727	36.058479532163744	36.11001936280027
6301	condition_002	f024	15	171	9997279	9997279	14.596491228070175	14.600464014328475
6301	condition_002	f024	21	171	9992947	9992947	12.91812865497076	12.927246241745062
6301	condition_002	f024	27	171	9988615	9988615	11.444444444444445	11.457488795438051
6301	condition_002	f024	31	171	9985727	9985727	10.52046783625731	10.53550516277614
6301	condition_002	f025	15	171	9997279	9997279	89.3391812865497	89.36349709410901
6301	condition_002	f025	21	171	9992947	9992947	87.69005847953217	87.75194992981767
6301	condition_002	f025	27	171	9988615	9988615	86.05263157894737	86.15071416702652
6301	condition_002	f025	31	171	9985727	9985727	84.9766081871345	85.09806866053368
6301	condition_002	f026	15	171	9997279	9997279	36.8421052631579	36.852132728473315
6301	condition_002	f026	21	171	9992947	9992947	32.824561403508774	32.84772890670668
6301	condition_002	f026	27	171	9988615	9988615	29.16374269005848	29.196983455722822
6301	condition_002	f026	31	171	9985727	9985727	26.871345029239766	26.909753320153623
6301	condition_002	f027	15	171	9997279	9997279	0.017543859649122806	0.01754863463260634
6301	condition_002	f027	21	171	9992947	9992947	0.0	0.0
6301	condition_002	f027	27	171	9988615	9988615	0.0	0.0
6301	condition_002	f027	31	171	9985727	9985727	0.0	0.0
6301	condition_002	f028	15	171	9997279	9997279	25.269005847953217	25.275883415830666
6301	condition_002	f028	21	171	9992947	9992947	22.076023391812864	22.09160460053762
6301	condition_002	f028	27	171	9988615	9988615	19.34502923976608	19.367078658819146
6301	condition_002	f028	31	171	9985727	9985727	17.637426900584796	17.662636782063835
6301	condition_002	f029	15	170	9997279	9997279	65.62352941176471	65.64139043410182
