seed	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5201	5	0.001	1	f3	1.0	False	84200.0	421	4.9975	multik_loglinear	194.3603085256303	81825.68988929036	1.029016683072542	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.75	f1	0.75	False	915.0	61	4.9975	single_k21	7.8039	476.0379	1.922115865144351	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	5	0.001	0.75	f1	0.75	False	915.0	61	4.9975	multik_loglinear	8.017672375608877	489.0780149121415	1.8708671665897139	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.75	f2	0.75	False	10261.0	171	4.9975	single_k21	65.2328	11154.808799999999	0.9198723334460023	consistent	False	TN	single_k_baseline	0.6
5201	5	0.001	0.75	f2	0.75	False	10261.0	171	4.9975	multik_loglinear	67.41737378983174	11528.370918061228	0.8900650467382458	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.75	f3	0.75	False	63150.0	421	4.9975	single_k21	189.8954	79945.9634	0.7899085496541781	consistent	False	TN	single_k_baseline	0.6
5201	5	0.001	0.75	f3	0.75	False	63150.0	421	4.9975	multik_loglinear	194.3603085256303	81825.68988929036	0.7717625123044065	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.5	f1	0.5	True	610.0	61	4.9975	single_k21	7.8039	476.0379	1.2814105767629007	consistent	False	FN	single_k_baseline	0.6
5201	5	0.001	0.5	f1	0.5	True	610.0	61	4.9975	multik_loglinear	8.017672375608877	489.0780149121415	1.247244777726476	consistent	False	FN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.5	f2	0.5	True	6841.0	171	4.9975	single_k21	65.2328	11154.808799999999	0.6132781047757628	consistent	False	FN	single_k_baseline	0.6
