stage	elapsed_seconds	rss_mib	process_count	scratch_bytes
smoke	3870.587550	21.921875	1	2607880
smoke	3870.818717	21.921875	1	2607880
smoke	3871.046358	21.921875	1	2607880
smoke	3871.277234	21.921875	1	2607880
smoke	3871.506640	21.921875	1	2607880
smoke	3871.736873	21.921875	1	2607880
smoke	3871.965941	21.921875	1	2607880
smoke	3872.196784	21.921875	1	2607880
smoke	3872.426620	21.921875	1	2607880
smoke	3872.654276	21.921875	1	2607880
smoke	3872.884021	21.921875	1	2607880
smoke	3873.115818	21.921875	1	2607880
smoke	3873.342954	21.921875	1	2607880
smoke	3873.574718	21.921875	1	2607880
smoke	3873.804526	21.921875	1	2607880
smoke	3874.036754	21.921875	1	2607880
smoke	3874.265322	21.921875	1	2607880
smoke	3874.498408	21.921875	1	2607880
smoke	3874.729761	21.921875	1	2607880
smoke	3874.961323	21.921875	1	2607880
smoke	3875.194660	21.921875	1	2607880
smoke	3875.426614	21.921875	1	2607880
smoke	3875.658361	21.921875	1	2607880
smoke	3875.890136	21.921875	1	2607880
smoke	3876.119385	21.921875	1	2607880
smoke	3876.351018	21.921875	1	2607880
smoke	3876.584256	21.921875	1	2607880
smoke	3876.815813	21.921875	1	2607880
smoke	3877.045455	21.921875	1	2607880
smoke	3877.276904	21.921875	1	2607880
smoke	3877.508175	21.921875	1	2607880
smoke	3877.737622	21.921875	1	2607880
smoke	3877.968918	21.921875	1	2607880
smoke	3878.195869	21.921875	1	2607880
smoke	3878.434870	21.921875	1	2607880
smoke	3878.668181	21.921875	1	2607880
smoke	3878.895981	21.921875	1	2607880
smoke	3879.129664	21.921875	1	2607880
smoke	3879.361278	21.921875	1	2607880
smoke	3879.592851	21.921875	1	2607880
smoke	3879.820432	21.921875	1	2607880
smoke	3880.049002	21.921875	1	2607880
smoke	3880.277067	21.921875	1	2607880
smoke	3880.508560	21.921875	1	2607880
smoke	3880.739896	21.921875	1	2607880
smoke	3880.972157	21.921875	1	2607880
smoke	3881.205993	21.921875	1	2607880
smoke	3881.437304	21.921875	1	2607880
smoke	3881.670075	21.921875	1	2607880
smoke	3881.904221	21.921875	1	2607880
smoke	3882.133945	21.921875	1	2607880
smoke	3882.363104	21.921875	1	2607880
smoke	3882.594089	21.921875	1	2607880
smoke	3882.824886	21.921875	1	2607880
smoke	3883.054746	21.921875	1	2607880
smoke	3883.286041	21.921875	1	2607880
smoke	3883.517657	21.921875	1	2607880
smoke	3883.746095	21.921875	1	2607880
smoke	3883.976734	21.921875	1	2607880
smoke	3884.203748	21.921875	1	2607880
smoke	3884.435089	21.921875	1	2607880
smoke	3884.667056	21.921875	1	2607880
smoke	3884.896992	21.921875	1	2607880
smoke	3885.127308	21.921875	1	2607880
smoke	3885.356263	21.921875	1	2607880
smoke	3885.587923	21.921875	1	2607880
smoke	3885.819302	21.921875	1	2607880
smoke	3886.047035	21.921875	1	2607880
